,sigma1_crev_clean,sigma2_crev_clean
259,200807.18756192055,26566.34629736842
260,210181.67507088548,50450.06260608442
261,213790.99838019244,67930.68963105434
262,212670.16048551066,79782.33737598178
263,207537.70452495164,87015.18646620726
264,198959.6405913275,90266.09646679896
265,187051.15460651938,90661.27934714871
266,-53006.07194542009,-120586.28975698593
267,-51677.19627326293,-125040.46110790432
268,-38583.4521327803,-125907.95296127902
269,-13244.60386044885,-120178.01098870009
270,20272.766318717062,-106564.17246259516
271,56002.10805280181,-86090.15429483299
272,88024.538049363,-63184.464857494415
273,114862.69779502707,-40542.6282207576
274,137357.15971160898,-18328.277254286724
275,154700.72339394304,943.3674855164863
276,168154.32792443212,17930.008792695808
277,178064.4250151685,32294.006958620113
278,184947.55888676323,44182.849658093255
279,189333.781363732,54151.89228887501
280,191351.51046906196,61782.40917428303
281,124934.83497226544,-62221.952073453846
282,95757.18297428117,-91233.58055947945
283,71047.48248337867,-113940.05495045707
284,54393.60598537305,-130261.44412330308
285,47190.25421306351,-141108.3496801119
286,46801.05785309674,-148586.95601997306
287,48649.92249081251,-154952.2616333253
288,49658.72666865091,-161324.4270988076
289,47756.64791387217,-168951.42172470797
290,42811.16580661693,-176976.46829589905
291,34560.020652897976,-185511.10896419457
292,24531.722962462285,-193502.64801633742
293,18531.51306240096,-187052.04778936924
294,43370.17454732242,-167454.48644426995
295,75769.41765718468,-139745.6288162012
296,111173.33205336347,-105199.66044795112
297,143389.34163257884,-68340.70699110485
298,170104.92083966275,-31697.20317766015
299,188641.7015888567,-475.09157429223706
300,200520.9830853183,25768.015716966343
301,206242.39036532847,46394.25129709783
302,206486.25764560403,60718.47115633027
303,202279.62932906626,70080.19107737149
304,194177.150228315,75199.93332453902
305,182983.56313879092,76795.31240455192
306,-33672.14379207328,-116940.61496703309
307,-26243.63873516595,-118832.13023915839
308,-6796.285592948203,-115261.40788095118
309,22325.775247489975,-103947.67157256999
310,54402.563778321106,-86828.92541236055
311,84344.03612742622,-67113.45233319639
312,110125.02055349774,-47457.954346104525
313,131839.85712930077,-28661.578094386452
314,150346.88288231712,-10069.484240828999
315,165348.93368662486,6920.222728404406
316,177058.79452732136,22194.909844521884
317,185790.33078835992,35518.20452482332
318,191950.82864423766,47091.75351117803
319,195727.03788741434,56725.74165009102
320,197295.01719573,64221.104498564804
321,197005.40735979663,69469.83286396814
322,194972.7911519437,71770.97523609354
323,191772.66034720727,71848.67255141563
324,195639.10947947827,44565.50363857574
325,180223.06534075097,22238.55997501049
326,163403.32400886356,487.65010240860283
327,146645.3900141365,-19838.217389678335
328,131484.17103289417,-38769.61237204058
329,118971.19397981415,-56916.47990998167
330,110841.47642537739,-72751.40708187089
