,sigma1_nocrev_clean,sigma2_nocrev_clean
196,-217.66188823575067,-110043.73700563988
197,10576.315780278106,-161869.9699497174
198,-4075.7868848916114,-162355.5213523088
199,-9911.59023047745,-158676.34393629327
200,-2728.1037234916294,-149854.63326442553
201,20454.233286033734,-133401.37293503108
202,57511.87517948274,-106561.34302386508
203,45901.70345791223,-92987.38155542494
204,13299.80308277029,-113660.49738620866
205,-13314.579211448407,-127921.86240326287
206,-29624.48680243321,-136960.70337919905
207,-6102.791963108146,-177988.78152839735
208,-18963.556444225993,-177094.26804750116
209,-22195.400925874346,-172109.67536758946
210,-12367.080894472485,-162203.83434324502
211,13320.317752302988,-144791.35137628095
212,17601.218775563422,-120171.57894437206
213,-3800.0674965545913,-132091.48957575025
214,-18569.704746257295,-139256.96589442273
215,-26989.57227740466,-143308.64752612315
216,-20589.11629900447,-189947.55125616115
217,-31402.880117137072,-188186.65652268694
218,-32420.15497323654,-182465.1089616841
219,-20389.029362400426,-172027.3901520215
220,-1473.2174561276042,-138728.7729171236
221,-12909.138701790944,-144236.93202409794
222,-19364.9472137506,-146311.2690210537
223,-21965.100808983116,-146080.53368775776
224,-20404.597234531248,-143852.25510722614
225,-32163.589623576336,-198045.3502125265
226,-41137.36480762044,-195726.96912038905
227,-39778.85833813579,-189552.53117680489
228,-14190.745178446858,-151842.24292486632
229,-18064.08832565538,-152533.71764830485
230,-18128.50805331691,-150218.69893924045
231,-15021.216089953094,-145603.32190734125
232,-8589.067418081395,-138881.2785638066
233,-1529.5794899315733,-131612.71371263312
234,-26530.91184603129,-201642.64835441316
235,-40924.85877217101,-202340.44927522773
236,-47627.91708806483,-199643.3289134188
237,-929.7715538266348,-145379.74707361613
238,-13941.699991910718,-155635.3841774827
239,-20953.98494139551,-160531.2342665741
240,-20775.71324026138,-157573.5792950075
241,-15381.370357142194,-151226.52811431524
242,-6664.963660539943,-142087.21534009496
243,5357.787033779372,-130282.84711158607
244,-33836.767976429095,-202430.65505213372
245,-46146.91636635017,-202914.9506420271
246,-49801.43608886168,-199998.29042026552
247,15716.500389163397,-131000.7039930621
248,-7305.721752740719,-150031.65880226227
249,-20636.579542926775,-161361.46516344647
250,-27684.58518656103,-167375.75699787197
251,-29738.874833257694,-168786.70917821518
252,-20781.17425163745,-159314.56239994642
253,-10584.699026413204,-149226.19000605354
254,-19951.58512444432,-195232.40045107296
255,-36529.17670328819,-199330.53581133616
256,-45856.80551450353,-199828.16104199135
257,-45262.3004788079,-196804.12002080452
258,-32996.64049975814,-189732.0468424154
259,62910.41334045427,-90858.04207148904
260,22910.006815240064,-126497.37745788299
261,-4639.797708499755,-149178.14177285432
262,-21401.65550433552,-163137.86208772083
263,-30410.22009588973,-170955.50425136744
264,-34100.78021016471,-174079.37437514542
265,-33166.95648175929,-172831.1587098101
266,-17512.108392293507,-157649.87213676987
267,102787.1674853432,-17193.051285904825
268,2905.208358830132,-178348.88293762942
269,-17880.570806650838,-187447.20746502402
270,-31568.050724094108,-192049.3316897049
271,-35930.782104229016,-192590.69922320597
272,-30090.380519248516,-189307.63126628476
