Fracture,Stress
43,38.89468613
36,38.50168702
37,38.54576208
77,38.98637725
41,39.74822793
42,40.69089104
17,41.61288374
23,42.36749964
52,42.77177634
54,42.606606
24,41.54817039
74,39.22435001
86,86.71546444
87,80.39714605
92,73.06722572
97,64.15458539
109,56.95251462
106,52.91070545
112,50.83545993
118,50.42962589
116,51.25607407
122,52.73798588
123,54.29541565
121,55.92701205
125,57.41280139
112,67.30927622
105,68.98515872
95,70.30760284
101,71.02737377
32,70.66554488
24,68.98000838
70,65.41993134
107,60.580331
103,55.54962552
92,51.18870412
92,47.60782199
65,44.61327935
66,42.23653113
52,40.45646288
36,39.19204065
30,38.41627921
74,38.09616612
68,38.21197253
33,38.70195761
24,39.4434936
18,40.24919746
6,40.94433098
50,41.32998552
59,41.16256866
74,40.07719659
62,37.69810708
84,87.5032737
86,86.80501591
93,87.10002383
103,87.21111136
117,86.20371256
115,84.49484236
115,78.84500555
121,71.15158849
120,65.6861158
118,63.20962177
115,62.33762116
122,62.08023106
124,62.3289386
119,67.01966542
102,67.77100874
93,68.18088581
32,68.13580977
28,67.37981542
33,65.80768303
95,63.20654807
72,59.76209286
68,55.99693115
152,52.39353219
84,49.15018519
59,46.1099729
57,43.54465005
49,41.40539401
30,39.73642639
51,38.53491623
39,37.78456327
31,37.49130144
36,37.61158513
25,38.04969106
11,38.63650825
1,39.20102122
59,39.45971608
132,39.24438863
120,38.06273011
88,35.62928909
83,88.37818666
87,89.83548187
92,92.80279611
94,96.61879561
116,100.5211784
113,103.6024034
119,104.0694089
122,100.398489
125,92.19320129
121,82.49853379
120,76.10838437
131,72.0695738
107,69.71992937
132,68.32355629
118,67.38161869
106,67.3425198
99,67.05747978
14,66.4907447
6,65.49445562
26,64.04825627
51,61.9892964
34,59.38956044
132,53.53660847
61,50.5788863
57,47.6453865
66,44.87800194
56,42.42736086
36,40.33335853
40,38.67055054
31,37.42773867
51,36.63616816
25,36.2894777
16,36.33585745
8,36.56648229
176,36.84715997
171,36.94313493
127,36.5654975
123,35.32975727
168,32.90169294
84,89.05623553
87,91.63833925
92,95.85286908
107,100.907942
110,105.8072343
121,109.6127494
120,111.4251747
121,110.6352021
122,106.6436179
115,100.0386264
114,91.9247596
123,84.6740879
110,79.26419142
123,75.35279585
151,72.92282007
102,67.57520634
99,66.69239706
21,65.67184567
5,64.456165
8,63.05694329
47,61.32868812
48,59.27061773
147,54.49320906
58,51.84977793
60,49.03721288
57,46.17417306
43,43.43962389
41,40.92356772
37,38.74300283
42,36.93585021
52,35.54791602
21,34.61581438
15,34.11782776
175,33.91712622
167,33.8393997
179,33.6608984
108,33.12111756
171,31.83533288
161,29.56559237
85,89.54361939
93,92.81315206
92,97.66458136
96,103.1582072
112,108.1885306
112,111.9852889
114,113.9941545
124,114.1155968
123,112.1398283
120,108.0948504
116,102.3044649
116,95.62032715
120,89.16342416
124,83.6587722
126,79.22741141
112,76.06137303
22,67.20897965
9,65.81384288
19,64.39027489
35,62.94660512
21,61.36930474
54,59.6230672
64,55.58404914
70,53.1856706
61,50.49537302
61,47.56578345
49,44.55233876
